"Plot Title: 20196748"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20196748, SEN S/N: 20196748)","Temp, °C (LGR S/N: 20196748, SEN S/N: 20196748)","Coupler Detached (LGR S/N: 20196748)","Coupler Attached (LGR S/N: 20196748)","Stopped (LGR S/N: 20196748)","End Of File (LGR S/N: 20196748)"
1,08/24/18 04:00:00 PM,102.274,35.328,Logged,,,
2,08/24/18 04:15:00 PM,102.259,34.163,,,,
3,08/24/18 04:30:00 PM,102.255,33.535,,,,
4,08/24/18 04:45:00 PM,102.246,33.014,,,,
5,08/24/18 05:00:00 PM,102.240,32.600,,,,
6,08/24/18 05:15:00 PM,102.240,32.086,,,,
7,08/24/18 05:30:00 PM,102.203,31.064,,,,
8,08/24/18 05:45:00 PM,102.228,28.853,,,,
9,08/24/18 06:00:00 PM,102.226,26.683,,,,
10,08/24/18 06:15:00 PM,102.222,24.931,,,,
11,08/24/18 06:30:00 PM,102.203,23.581,,,,
12,08/24/18 06:45:00 PM,102.214,22.525,,,,
13,08/24/18 07:00:00 PM,102.220,21.569,,,,
14,08/24/18 07:15:00 PM,102.228,20.710,,,,
15,08/24/18 07:30:00 PM,102.215,20.043,,,,
16,08/24/18 07:45:00 PM,102.240,19.377,,,,
17,08/24/18 08:00:00 PM,102.243,18.616,,,,
18,08/24/18 08:15:00 PM,102.259,17.950,,,,
19,08/24/18 08:30:00 PM,102.278,17.379,,,,
20,08/24/18 08:45:00 PM,102.290,16.903,,,,
21,08/24/18 09:00:00 PM,102.344,16.523,,,,
22,08/24/18 09:15:00 PM,102.344,16.237,,,,
23,08/24/18 09:30:00 PM,102.357,16.046,,,,
24,08/24/18 09:45:00 PM,102.360,15.855,,,,
25,08/24/18 10:00:00 PM,102.353,15.951,,,,
26,08/24/18 10:15:00 PM,102.360,16.141,,,,
27,08/24/18 10:30:00 PM,102.357,16.332,,,,
28,08/24/18 10:45:00 PM,102.369,16.427,,,,
29,08/24/18 11:00:00 PM,102.379,16.427,,,,
30,08/24/18 11:15:00 PM,102.366,16.332,,,,
31,08/24/18 11:30:00 PM,102.394,16.332,,,,
32,08/24/18 11:45:00 PM,102.404,16.332,,,,
33,08/25/18 12:00:00 AM,102.407,16.141,,,,
34,08/25/18 12:15:00 AM,102.401,15.951,,,,
35,08/25/18 12:30:00 AM,102.401,15.951,,,,
36,08/25/18 12:45:00 AM,102.395,15.760,,,,
37,08/25/18 01:00:00 AM,102.407,15.569,,,,
38,08/25/18 01:15:00 AM,102.382,15.378,,,,
39,08/25/18 01:30:00 AM,102.388,15.282,,,,
40,08/25/18 01:45:00 AM,102.385,15.187,,,,
41,08/25/18 02:00:00 AM,102.388,14.996,,,,
42,08/25/18 02:15:00 AM,102.373,14.804,,,,
43,08/25/18 02:30:00 AM,102.363,14.517,,,,
44,08/25/18 02:45:00 AM,102.386,14.325,,,,
45,08/25/18 03:00:00 AM,102.401,14.230,,,,
46,08/25/18 03:15:00 AM,102.395,14.038,,,,
47,08/25/18 03:30:00 AM,102.364,13.942,,,,
48,08/25/18 03:45:00 AM,102.351,13.846,,,,
49,08/25/18 04:00:00 AM,102.370,13.846,,,,
50,08/25/18 04:15:00 AM,102.348,13.750,,,,
51,08/25/18 04:30:00 AM,102.339,13.750,,,,
52,08/25/18 04:45:00 AM,102.345,13.654,,,,
53,08/25/18 05:00:00 AM,102.345,13.654,,,,
54,08/25/18 05:15:00 AM,102.351,13.558,,,,
55,08/25/18 05:30:00 AM,102.348,13.461,,,,
56,08/25/18 05:45:00 AM,102.339,13.461,,,,
57,08/25/18 06:00:00 AM,102.358,13.461,,,,
58,08/25/18 06:15:00 AM,102.386,13.461,,,,
59,08/25/18 06:30:00 AM,102.405,13.461,,,,
60,08/25/18 06:45:00 AM,102.430,13.654,,,,
61,08/25/18 07:00:00 AM,102.465,13.846,,,,
62,08/25/18 07:15:00 AM,102.452,14.325,,,,
63,08/25/18 07:30:00 AM,102.480,15.187,,,,
64,08/25/18 07:45:00 AM,102.492,16.141,,,,
65,08/25/18 08:00:00 AM,102.517,16.903,,,,
66,08/25/18 08:15:00 AM,102.517,17.760,,,,
67,08/25/18 08:30:00 AM,102.524,18.806,,,,
68,08/25/18 08:45:00 AM,102.531,20.424,,,,
69,08/25/18 09:00:00 AM,102.546,22.238,,,,
70,08/25/18 09:15:00 AM,102.549,24.255,,,,
71,08/25/18 09:30:00 AM,102.559,25.902,,,,
72,08/25/18 09:45:00 AM,102.554,27.370,,,,
73,08/25/18 10:00:00 AM,102.574,28.456,,,,
74,08/25/18 10:15:00 AM,102.570,29.152,,,,
75,08/25/18 10:30:00 AM,102.554,29.752,,,,
76,08/25/18 10:45:00 AM,102.555,30.054,,,,
