"Plot Title: 20196746"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 20196746, SEN S/N: 20196746)","Temp, °C (LGR S/N: 20196746, SEN S/N: 20196746)","Coupler Detached (LGR S/N: 20196746)","Coupler Attached (LGR S/N: 20196746)","Stopped (LGR S/N: 20196746)","End Of File (LGR S/N: 20196746)"
1,08/24/18 04:00:00 PM,104.449,24.545,Logged,,,
2,08/24/18 04:15:00 PM,104.405,24.158,,,,
3,08/24/18 04:30:00 PM,104.402,24.062,,,,
4,08/24/18 04:45:00 PM,104.378,23.966,,,,
5,08/24/18 05:00:00 PM,104.343,23.869,,,,
6,08/24/18 05:15:00 PM,104.343,23.869,,,,
7,08/24/18 05:30:00 PM,104.330,23.773,,,,
8,08/24/18 05:45:00 PM,104.309,23.773,,,,
9,08/24/18 06:00:00 PM,104.319,23.773,,,,
10,08/24/18 06:15:00 PM,104.309,23.773,,,,
11,08/24/18 06:30:00 PM,104.298,23.773,,,,
12,08/24/18 06:45:00 PM,104.274,23.677,,,,
13,08/24/18 07:00:00 PM,104.274,23.677,,,,
14,08/24/18 07:15:00 PM,104.264,23.677,,,,
15,08/24/18 07:30:00 PM,104.274,23.677,,,,
16,08/24/18 07:45:00 PM,104.285,23.677,,,,
17,08/24/18 08:00:00 PM,104.274,23.677,,,,
18,08/24/18 08:15:00 PM,104.274,23.677,,,,
19,08/24/18 08:30:00 PM,104.285,23.677,,,,
20,08/24/18 08:45:00 PM,104.295,23.677,,,,
21,08/24/18 09:00:00 PM,104.326,23.677,,,,
22,08/24/18 09:15:00 PM,104.316,23.677,,,,
23,08/24/18 09:30:00 PM,104.313,23.581,,,,
24,08/24/18 09:45:00 PM,104.323,23.581,,,,
25,08/24/18 10:00:00 PM,104.313,23.581,,,,
26,08/24/18 10:15:00 PM,104.302,23.581,,,,
27,08/24/18 10:30:00 PM,104.302,23.581,,,,
28,08/24/18 10:45:00 PM,104.292,23.581,,,,
29,08/24/18 11:00:00 PM,104.292,23.581,,,,
30,08/24/18 11:15:00 PM,104.282,23.581,,,,
31,08/24/18 11:30:00 PM,104.282,23.581,,,,
32,08/24/18 11:45:00 PM,104.292,23.581,,,,
33,08/25/18 12:00:00 AM,104.302,23.581,,,,
34,08/25/18 12:15:00 AM,104.292,23.581,,,,
35,08/25/18 12:30:00 AM,104.282,23.581,,,,
36,08/25/18 12:45:00 AM,104.271,23.581,,,,
37,08/25/18 01:00:00 AM,104.271,23.581,,,,
38,08/25/18 01:15:00 AM,104.250,23.581,,,,
39,08/25/18 01:30:00 AM,104.261,23.581,,,,
40,08/25/18 01:45:00 AM,104.271,23.581,,,,
41,08/25/18 02:00:00 AM,104.250,23.581,,,,
42,08/25/18 02:15:00 AM,104.230,23.581,,,,
43,08/25/18 02:30:00 AM,104.230,23.581,,,,
44,08/25/18 02:45:00 AM,104.240,23.581,,,,
45,08/25/18 03:00:00 AM,104.240,23.581,,,,
46,08/25/18 03:15:00 AM,104.250,23.581,,,,
47,08/25/18 03:30:00 AM,104.216,23.484,,,,
48,08/25/18 03:45:00 AM,104.216,23.484,,,,
49,08/25/18 04:00:00 AM,104.216,23.484,,,,
50,08/25/18 04:15:00 AM,104.216,23.484,,,,
51,08/25/18 04:30:00 AM,104.185,23.484,,,,
52,08/25/18 04:45:00 AM,104.195,23.484,,,,
53,08/25/18 05:00:00 AM,104.195,23.484,,,,
54,08/25/18 05:15:00 AM,104.206,23.484,,,,
55,08/25/18 05:30:00 AM,104.195,23.484,,,,
56,08/25/18 05:45:00 AM,104.185,23.484,,,,
57,08/25/18 06:00:00 AM,104.195,23.484,,,,
58,08/25/18 06:15:00 AM,104.216,23.484,,,,
59,08/25/18 06:30:00 AM,104.247,23.484,,,,
60,08/25/18 06:45:00 AM,104.268,23.484,,,,
61,08/25/18 07:00:00 AM,104.278,23.484,,,,
62,08/25/18 07:15:00 AM,104.289,23.484,,,,
63,08/25/18 07:30:00 AM,104.320,23.484,,,,
64,08/25/18 07:45:00 AM,104.320,23.484,,,,
65,08/25/18 08:00:00 AM,104.330,23.484,,,,
66,08/25/18 08:15:00 AM,104.320,23.484,,,,
67,08/25/18 08:30:00 AM,104.320,23.484,,,,
68,08/25/18 08:45:00 AM,104.320,23.484,,,,
69,08/25/18 09:00:00 AM,104.320,23.484,,,,
70,08/25/18 09:15:00 AM,104.320,23.484,,,,
71,08/25/18 09:30:00 AM,104.341,23.484,,,,
72,08/25/18 09:45:00 AM,104.320,23.484,,,,
73,08/25/18 10:00:00 AM,104.330,23.484,,,,
74,08/25/18 10:15:00 AM,104.320,23.484,,,,
75,08/25/18 10:30:00 AM,104.320,23.484,,,,
76,08/25/18 10:45:00 AM,104.330,23.484,,,,
77,08/25/18 11:00:00 AM,104.289,23.484,,,,
